Date,SPT_start,SPT_end
2019-08-20 11:03:35,2019-08-20 12:09:56,2019-08-20 14:30:49
2019-08-21 11:19:19,2019-08-22 02:16:01,2019-08-22 08:23:55
2019-08-22 11:41:20,2019-08-22 23:25:15,2019-08-23 05:22:38
2019-08-23 12:03:30,2019-08-23 20:13:38,2019-08-23 23:43:55
2019-08-25 13:49:27,2019-08-26 04:05:17,2019-08-26 08:11:38
2019-08-26 15:38:38,2019-08-26 21:49:56,2019-08-27 02:21:04
2019-08-27 11:07:27,2019-08-28 01:48:26,2019-08-28 04:43:11
2019-08-28 10:55:31,2019-08-29 05:09:56,2019-08-29 10:18:40
2019-08-29 11:00:50,2019-08-29 23:07:26,2019-08-30 07:12:59
